data_id,sensor_id,sensor_name,timestamp,measurement_type,value
14045,446400107,Photoresistor Sensor,1751013014,voltage,2.05
14046,446400107,Photoresistor Sensor,1751013018,light_value,2551.0
14046,446400107,Photoresistor Sensor,1751013018,voltage,2.06
14047,446400107,Photoresistor Sensor,1751013023,light_value,2559.0
14047,446400107,Photoresistor Sensor,1751013023,voltage,2.06
14048,446400107,Photoresistor Sensor,1751013026,light_value,2589.0
14048,446400107,Photoresistor Sensor,1751013026,voltage,2.09
14049,446400107,Photoresistor Sensor,1751013031,light_value,2589.0
14049,446400107,Photoresistor Sensor,1751013031,voltage,2.09
14050,446400107,Photoresistor Sensor,1751013033,light_value,2583.0
14050,446400107,Photoresistor Sensor,1751013033,voltage,2.08
14051,446400107,Photoresistor Sensor,1751013057,light_value,2593.0
14051,446400107,Photoresistor Sensor,1751013057,voltage,2.09
14052,446400107,Photoresistor Sensor,1751013059,light_value,2586.0
14052,446400107,Photoresistor Sensor,1751013059,voltage,2.08
14053,446400107,Photoresistor Sensor,1751013061,light_value,2559.0
14053,446400107,Photoresistor Sensor,1751013061,voltage,2.06
14054,446400107,Photoresistor Sensor,1751013064,light_value,2559.0
14054,446400107,Photoresistor Sensor,1751013064,voltage,2.06
14055,446400107,Photoresistor Sensor,1751013071,light_value,2586.0
14055,446400107,Photoresistor Sensor,1751013071,voltage,2.08
14056,446400107,Photoresistor Sensor,1751013073,light_value,2581.0
14056,446400107,Photoresistor Sensor,1751013073,voltage,2.08
14057,446400107,Photoresistor Sensor,1751013075,light_value,2588.0
14057,446400107,Photoresistor Sensor,1751013075,voltage,2.09
14058,446400107,Photoresistor Sensor,1751013080,light_value,2586.0
14058,446400107,Photoresistor Sensor,1751013080,voltage,2.08
14059,446400107,Photoresistor Sensor,1751013082,light_value,2585.0
14059,446400107,Photoresistor Sensor,1751013082,voltage,2.08
14060,446400107,Photoresistor Sensor,1751013087,light_value,2595.0
14060,446400107,Photoresistor Sensor,1751013087,voltage,2.09
14061,446400107,Photoresistor Sensor,1751013089,light_value,2559.0
14061,446400107,Photoresistor Sensor,1751013089,voltage,2.06
14062,446400107,Photoresistor Sensor,1751013094,light_value,2559.0
14062,446400107,Photoresistor Sensor,1751013094,voltage,2.06
14063,446400107,Photoresistor Sensor,1751013098,light_value,2580.0
14063,446400107,Photoresistor Sensor,1751013098,voltage,2.08
14064,446400107,Photoresistor Sensor,1751013101,light_value,2587.0
14064,446400107,Photoresistor Sensor,1751013101,voltage,2.08
14065,446400107,Photoresistor Sensor,1751013103,light_value,2585.0
14065,446400107,Photoresistor Sensor,1751013103,voltage,2.08
14066,446400107,Photoresistor Sensor,1751013105,light_value,2590.0
14066,446400107,Photoresistor Sensor,1751013105,voltage,2.09
14067,446400107,Photoresistor Sensor,1751013108,light_value,2586.0
14067,446400107,Photoresistor Sensor,1751013108,voltage,2.08
14068,446400107,Photoresistor Sensor,1751013110,light_value,2586.0
14068,446400107,Photoresistor Sensor,1751013110,voltage,2.08
14069,446400107,Photoresistor Sensor,1751013114,light_value,2559.0
14069,446400107,Photoresistor Sensor,1751013114,voltage,2.06
14070,446400107,Photoresistor Sensor,1751013117,light_value,2585.0
14070,446400107,Photoresistor Sensor,1751013117,voltage,2.08
14071,446400106,Microwave Radar Sensor,1751013119,motion_detected,0.0
14072,446400107,Photoresistor Sensor,1751013124,light_value,2582.0
14072,446400107,Photoresistor Sensor,1751013124,voltage,2.08
14073,446400107,Photoresistor Sensor,1751013133,light_value,2586.0
14073,446400107,Photoresistor Sensor,1751013133,voltage,2.08
14074,446400107,Photoresistor Sensor,1751013138,light_value,2559.0
14074,446400107,Photoresistor Sensor,1751013138,voltage,2.06
14075,446400107,Photoresistor Sensor,1751013145,light_value,2593.0
14075,446400107,Photoresistor Sensor,1751013145,voltage,2.09
14076,446400107,Photoresistor Sensor,1751013152,light_value,2590.0
14076,446400107,Photoresistor Sensor,1751013152,voltage,2.09
14077,446400107,Photoresistor Sensor,1751013162,light_value,2583.0
14077,446400107,Photoresistor Sensor,1751013162,voltage,2.08
14078,446400107,Photoresistor Sensor,1751013164,light_value,2590.0
14078,446400107,Photoresistor Sensor,1751013164,voltage,2.09
14079,446400107,Photoresistor Sensor,1751013166,light_value,2559.0
14079,446400107,Photoresistor Sensor,1751013166,voltage,2.06
14080,446400107,Photoresistor Sensor,1751013171,light_value,2583.0
14080,446400107,Photoresistor Sensor,1751013171,voltage,2.08
14081,446400107,Photoresistor Sensor,1751013175,light_value,2588.0
14081,446400107,Photoresistor Sensor,1751013175,voltage,2.09
14082,446400107,Photoresistor Sensor,1751013178,light_value,2596.0
14082,446400107,Photoresistor Sensor,1751013178,voltage,2.09
14083,446400107,Photoresistor Sensor,1751013187,light_value,2589.0
14083,446400107,Photoresistor Sensor,1751013187,voltage,2.09
14084,446400107,Photoresistor Sensor,1751013189,light_value,2587.0
14084,446400107,Photoresistor Sensor,1751013189,voltage,2.08
14085,446400107,Photoresistor Sensor,1751013196,light_value,2585.0
14085,446400107,Photoresistor Sensor,1751013196,voltage,2.08
14086,446400107,Photoresistor Sensor,1751013198,light_value,2582.0
14086,446400107,Photoresistor Sensor,1751013198,voltage,2.08
14087,446400107,Photoresistor Sensor,1751013202,light_value,2584.0
14087,446400107,Photoresistor Sensor,1751013202,voltage,2.08
14088,446400107,Photoresistor Sensor,1751013204,light_value,2595.0
14088,446400107,Photoresistor Sensor,1751013204,voltage,2.09
14089,446400107,Photoresistor Sensor,1751013218,light_value,2587.0
14089,446400107,Photoresistor Sensor,1751013218,voltage,2.08
14090,446400107,Photoresistor Sensor,1751013220,light_value,2582.0
14090,446400107,Photoresistor Sensor,1751013220,voltage,2.08
14091,446400107,Photoresistor Sensor,1751013227,light_value,2588.0
14091,446400107,Photoresistor Sensor,1751013227,voltage,2.09
14092,446400101,Temperature Sensor,1751013230,temperature,30.0
14093,446400107,Photoresistor Sensor,1751013234,light_value,2586.0
14093,446400107,Photoresistor Sensor,1751013234,voltage,2.08
14094,446400107,Photoresistor Sensor,1751013237,light_value,2559.0
14094,446400107,Photoresistor Sensor,1751013237,voltage,2.06
14095,446400107,Photoresistor Sensor,1751013241,light_value,2582.0
14095,446400107,Photoresistor Sensor,1751013241,voltage,2.08
14096,446400107,Photoresistor Sensor,1751013253,light_value,2559.0
14096,446400107,Photoresistor Sensor,1751013253,voltage,2.06
14097,446400107,Photoresistor Sensor,1751013255,light_value,2590.0
14097,446400107,Photoresistor Sensor,1751013255,voltage,2.09
14098,446400107,Photoresistor Sensor,1751013258,light_value,2591.0
14098,446400107,Photoresistor Sensor,1751013258,voltage,2.09
14099,446400107,Photoresistor Sensor,1751013260,light_value,2559.0
14099,446400107,Photoresistor Sensor,1751013260,voltage,2.06
14100,446400107,Photoresistor Sensor,1751013262,light_value,2580.0
14100,446400107,Photoresistor Sensor,1751013262,voltage,2.08
14101,446400107,Photoresistor Sensor,1751013264,light_value,2588.0
14101,446400107,Photoresistor Sensor,1751013264,voltage,2.09
14102,446400107,Photoresistor Sensor,1751013267,light_value,2592.0
14102,446400107,Photoresistor Sensor,1751013267,voltage,2.09
14103,446400107,Photoresistor Sensor,1751013269,light_value,2583.0
14103,446400107,Photoresistor Sensor,1751013269,voltage,2.08
14104,446400107,Photoresistor Sensor,1751013271,light_value,2559.0
14104,446400107,Photoresistor Sensor,1751013271,voltage,2.06
14105,446400107,Photoresistor Sensor,1751013274,light_value,2559.0
14105,446400107,Photoresistor Sensor,1751013274,voltage,2.06
14106,446400107,Photoresistor Sensor,1751013276,light_value,2586.0
14106,446400107,Photoresistor Sensor,1751013276,voltage,2.08
14107,446400107,Photoresistor Sensor,1751013281,light_value,2582.0
14107,446400107,Photoresistor Sensor,1751013281,voltage,2.08
14108,446400107,Photoresistor Sensor,1751013283,light_value,2581.0
14108,446400107,Photoresistor Sensor,1751013283,voltage,2.08
14109,446400107,Photoresistor Sensor,1751013288,light_value,2581.0
14109,446400107,Photoresistor Sensor,1751013288,voltage,2.08
14110,446400107,Photoresistor Sensor,1751013290,light_value,2588.0
14110,446400107,Photoresistor Sensor,1751013290,voltage,2.09
14111,446400107,Photoresistor Sensor,1751013297,light_value,2586.0
14111,446400107,Photoresistor Sensor,1751013297,voltage,2.08
14112,446400107,Photoresistor Sensor,1751013299,light_value,2559.0
14112,446400107,Photoresistor Sensor,1751013299,voltage,2.06
14113,446400107,Photoresistor Sensor,1751013302,light_value,2559.0
14113,446400107,Photoresistor Sensor,1751013302,voltage,2.06
14114,446400107,Photoresistor Sensor,1751013304,light_value,2559.0
14114,446400107,Photoresistor Sensor,1751013304,voltage,2.06
14115,446400106,Microwave Radar Sensor,1751013306,motion_detected,0.0
14116,446400107,Photoresistor Sensor,1751013309,light_value,2559.0
14116,446400107,Photoresistor Sensor,1751013309,voltage,2.06
14117,446400106,Microwave Radar Sensor,1751013311,motion_detected,0.0
14118,446400107,Photoresistor Sensor,1751013313,light_value,2579.0
14118,446400107,Photoresistor Sensor,1751013313,voltage,2.08
14119,446400107,Photoresistor Sensor,1751013316,light_value,2589.0
14119,446400107,Photoresistor Sensor,1751013316,voltage,2.09
14120,446400107,Photoresistor Sensor,1751013318,light_value,2559.0
14120,446400107,Photoresistor Sensor,1751013318,voltage,2.06
14121,446400107,Photoresistor Sensor,1751013320,light_value,2559.0
14121,446400107,Photoresistor Sensor,1751013320,voltage,2.06
14122,446400107,Photoresistor Sensor,1751013323,light_value,2583.0
14122,446400107,Photoresistor Sensor,1751013323,voltage,2.08
14123,446400107,Photoresistor Sensor,1751013325,light_value,2581.0
14123,446400107,Photoresistor Sensor,1751013325,voltage,2.08
14124,446400107,Photoresistor Sensor,1751013328,light_value,2594.0
14124,446400107,Photoresistor Sensor,1751013328,voltage,2.09
14125,446400107,Photoresistor Sensor,1751013333,light_value,2586.0
14125,446400107,Photoresistor Sensor,1751013333,voltage,2.08
14126,446400107,Photoresistor Sensor,1751013338,light_value,2582.0
14126,446400107,Photoresistor Sensor,1751013338,voltage,2.08
14127,446400107,Photoresistor Sensor,1751013342,light_value,2579.0
14127,446400107,Photoresistor Sensor,1751013342,voltage,2.08
14128,446400107,Photoresistor Sensor,1751013345,light_value,2582.0
14128,446400107,Photoresistor Sensor,1751013345,voltage,2.08
14129,446400107,Photoresistor Sensor,1751013347,light_value,2587.0
14129,446400107,Photoresistor Sensor,1751013347,voltage,2.08
14130,446400107,Photoresistor Sensor,1751013349,light_value,2590.0
14130,446400107,Photoresistor Sensor,1751013349,voltage,2.09
14131,446400107,Photoresistor Sensor,1751013364,light_value,2579.0
14131,446400107,Photoresistor Sensor,1751013364,voltage,2.08
14132,446400107,Photoresistor Sensor,1751013366,light_value,2585.0
14132,446400107,Photoresistor Sensor,1751013366,voltage,2.08
14133,446400107,Photoresistor Sensor,1751013371,light_value,2585.0
14133,446400107,Photoresistor Sensor,1751013371,voltage,2.08
14134,446400107,Photoresistor Sensor,1751013373,light_value,2583.0
14134,446400107,Photoresistor Sensor,1751013373,voltage,2.08
14135,446400107,Photoresistor Sensor,1751013375,light_value,2591.0
14135,446400107,Photoresistor Sensor,1751013375,voltage,2.09
14136,446400101,Temperature Sensor,1751013380,temperature,30.0
14137,446400105,ACS712 Hall Effect Sensor,1751013432,current,0.0
14138,446400105,ACS712 Hall Effect Sensor,1751013434,current,0.03
14139,446400105,ACS712 Hall Effect Sensor,1751013443,current,0.02
14140,446400105,ACS712 Hall Effect Sensor,1751013453,current,0.01
14141,446400105,ACS712 Hall Effect Sensor,1751013464,current,0.02
14142,446400105,ACS712 Hall Effect Sensor,1751013469,current,0.01
14143,446400105,ACS712 Hall Effect Sensor,1751013474,current,0.01
14144,446400105,ACS712 Hall Effect Sensor,1751013478,current,0.05
14145,446400105,ACS712 Hall Effect Sensor,1751013483,current,0.03
14146,446400105,ACS712 Hall Effect Sensor,1751013485,current,0.28
14147,446400105,ACS712 Hall Effect Sensor,1751013492,current,0.03
14148,446400105,ACS712 Hall Effect Sensor,1751013494,current,0.06
14149,446400105,ACS712 Hall Effect Sensor,1751013497,current,0.01
14150,446400105,ACS712 Hall Effect Sensor,1751013499,current,0.19
14151,446400105,ACS712 Hall Effect Sensor,1751013501,current,0.03
14152,446400105,ACS712 Hall Effect Sensor,1751013504,current,0.1
14153,446400105,ACS712 Hall Effect Sensor,1751013511,current,0.01
14154,446400105,ACS712 Hall Effect Sensor,1751013513,current,0.03
14155,446400105,ACS712 Hall Effect Sensor,1751013529,current,0.05
14156,446400105,ACS712 Hall Effect Sensor,1751013534,current,0.03
14157,446400105,ACS712 Hall Effect Sensor,1751013539,current,0.02
14158,446400105,ACS712 Hall Effect Sensor,1751013544,current,0.03
14159,446400105,ACS712 Hall Effect Sensor,1751013548,current,0.01
14160,446400105,ACS712 Hall Effect Sensor,1751013551,current,0.02
14161,446400105,ACS712 Hall Effect Sensor,1751013555,current,0.03
14162,446400105,ACS712 Hall Effect Sensor,1751013567,current,0.01
14163,446400105,ACS712 Hall Effect Sensor,1751013572,current,0.05
14164,446400105,ACS712 Hall Effect Sensor,1751013574,current,0.07
14165,446400105,ACS712 Hall Effect Sensor,1751013576,current,0.09
14166,446400105,ACS712 Hall Effect Sensor,1751013581,current,0.06
14167,446400105,ACS712 Hall Effect Sensor,1751013583,current,0.05
14168,446400105,ACS712 Hall Effect Sensor,1751013588,current,0.06
14169,446400105,ACS712 Hall Effect Sensor,1751013592,current,0.2
14170,446400105,ACS712 Hall Effect Sensor,1751013600,current,0.05
14171,446400105,ACS712 Hall Effect Sensor,1751013607,current,0.08
14172,446400105,ACS712 Hall Effect Sensor,1751013618,current,0.08
14173,446400105,ACS712 Hall Effect Sensor,1751013625,current,0.05
14174,446400105,ACS712 Hall Effect Sensor,1751013629,current,0.08
14175,446400105,ACS712 Hall Effect Sensor,1751013632,current,0.07
14176,446400105,ACS712 Hall Effect Sensor,1751013634,current,0.09
14177,446400105,ACS712 Hall Effect Sensor,1751013636,current,0.05
14178,446400105,ACS712 Hall Effect Sensor,1751013643,current,0.05
14179,446400105,ACS712 Hall Effect Sensor,1751013646,current,0.06
14180,446400105,ACS712 Hall Effect Sensor,1751013648,current,0.06
14181,446400105,ACS712 Hall Effect Sensor,1751013653,current,0.07
14182,446400105,ACS712 Hall Effect Sensor,1751013653,current,0.27
14183,446400105,ACS712 Hall Effect Sensor,1751013658,current,0.06
