data_id,sensor_name,timestamp,measurement_type,value
7441,Photoresistor Sensor,1749289077,voltage,0.74
7442,Photoresistor Sensor,1749289080,light_value,880.0
7442,Photoresistor Sensor,1749289080,voltage,0.71
7443,Photoresistor Sensor,1749289082,light_value,882.0
7443,Photoresistor Sensor,1749289082,voltage,0.71
7444,Photoresistor Sensor,1749289084,light_value,826.0
7444,Photoresistor Sensor,1749289084,voltage,0.67
7445,Photoresistor Sensor,1749289087,light_value,836.0
7445,Photoresistor Sensor,1749289087,voltage,0.67
7446,Photoresistor Sensor,1749289089,light_value,803.0
7446,Photoresistor Sensor,1749289089,voltage,0.65
7447,Photoresistor Sensor,1749289091,light_value,918.0
7447,Photoresistor Sensor,1749289091,voltage,0.74
7448,Photoresistor Sensor,1749289094,light_value,921.0
7448,Photoresistor Sensor,1749289094,voltage,0.74
7449,Photoresistor Sensor,1749289096,light_value,890.0
7449,Photoresistor Sensor,1749289096,voltage,0.72
7450,Photoresistor Sensor,1749289099,light_value,880.0
7450,Photoresistor Sensor,1749289099,voltage,0.71
7451,Photoresistor Sensor,1749289101,light_value,887.0
7451,Photoresistor Sensor,1749289101,voltage,0.71
7452,Photoresistor Sensor,1749289103,light_value,885.0
7452,Photoresistor Sensor,1749289103,voltage,0.71
7453,Photoresistor Sensor,1749289106,light_value,894.0
7453,Photoresistor Sensor,1749289106,voltage,0.72
7454,Photoresistor Sensor,1749289108,light_value,897.0
7454,Photoresistor Sensor,1749289108,voltage,0.72
7455,Photoresistor Sensor,1749289111,light_value,893.0
7455,Photoresistor Sensor,1749289111,voltage,0.72
7456,Photoresistor Sensor,1749289113,light_value,816.0
7456,Photoresistor Sensor,1749289113,voltage,0.66
7457,Photoresistor Sensor,1749289116,light_value,926.0
7457,Photoresistor Sensor,1749289116,voltage,0.75
7458,Photoresistor Sensor,1749289118,light_value,939.0
7458,Photoresistor Sensor,1749289118,voltage,0.76
7459,Photoresistor Sensor,1749289120,light_value,943.0
7459,Photoresistor Sensor,1749289120,voltage,0.76
7460,Temperature Sensor,1749289123,temperature,22.0
7461,Photoresistor Sensor,1749289125,light_value,918.0
7461,Photoresistor Sensor,1749289125,voltage,0.74
7462,Photoresistor Sensor,1749289128,light_value,917.0
7462,Photoresistor Sensor,1749289128,voltage,0.74
7463,Photoresistor Sensor,1749289130,light_value,891.0
7463,Photoresistor Sensor,1749289130,voltage,0.72
7464,Photoresistor Sensor,1749289132,light_value,850.0
7464,Photoresistor Sensor,1749289132,voltage,0.68
7465,Photoresistor Sensor,1749289135,light_value,897.0
7465,Photoresistor Sensor,1749289135,voltage,0.72
7466,Photoresistor Sensor,1749289137,light_value,915.0
7466,Photoresistor Sensor,1749289137,voltage,0.74
7467,Photoresistor Sensor,1749289140,light_value,911.0
7467,Photoresistor Sensor,1749289140,voltage,0.73
7468,Temperature Sensor,1749289142,temperature,22.0
7469,Photoresistor Sensor,1749289144,light_value,752.0
7469,Photoresistor Sensor,1749289144,voltage,0.61
7470,Photoresistor Sensor,1749289147,light_value,707.0
7470,Photoresistor Sensor,1749289147,voltage,0.57
7471,Photoresistor Sensor,1749289149,light_value,644.0
7471,Photoresistor Sensor,1749289149,voltage,0.52
7472,Photoresistor Sensor,1749289152,light_value,848.0
